Date,Stock Price Breadth
2021-04-23,1398.880682397828
2021-04-26,1436.9047904884592
2021-04-27,1469.5120091878384
2021-04-28,1507.0042855963195
2021-04-29,1539.9600476798137
2021-04-30,1538.2002104468456
2021-05-03,1551.6353555493622
2021-05-04,1548.2731061151987
2021-05-05,1553.0454328622166
2021-05-06,1566.7837522512257
2021-05-07,1603.5401853879475
2021-05-10,1616.2261754778915
2021-05-11,1607.7869567978184
2021-05-12,1560.7413020658182
2021-05-13,1531.6384375407697
2021-05-14,1541.9079646091825
2021-05-17,1561.6004409335858
2021-05-18,1560.1392094220416
2021-05-19,1527.6432112229768
2021-05-20,1506.9667160881045
2021-05-21,1493.747765890357
2021-05-24,1495.8926403480386
2021-05-25,1474.6066340833604
2021-05-26,1480.6374020713765
2021-05-27,1498.471004629372
2021-05-28,1509.5931622498833
2021-06-01,1543.5860218663736
2021-06-02,1586.119402175466
2021-06-03,1611.1887065993067
2021-06-04,1635.6857079927677
2021-06-07,1653.6134070749097
2021-06-08,1671.0998908351667
2021-06-09,1672.8627280443463
2021-06-10,1668.2994547084184
2021-06-11,1673.6151740862135
2021-06-14,1658.4018857714307
2021-06-15,1639.8245812781329
2021-06-16,1604.1537889729093
2021-06-17,1545.3583497838445
2021-06-18,1455.6055707065666
2021-06-21,1412.743324070614
2021-06-22,1373.5076976664286
2021-06-23,1342.1099349939552
2021-06-24,1338.8686911470754
2021-06-25,1338.6996310602249
2021-06-28,1315.92079400488
2021-06-29,1280.878639735438
2021-06-30,1262.270619534269
2021-07-01,1261.3612865495788
2021-07-02,1257.1492190675262
2021-07-06,1221.9086236634098
2021-07-07,1178.1465998011051
2021-07-08,1106.4425897804376
2021-07-09,1084.5328861268665
2021-07-12,1068.1733439142758
2021-07-13,1027.1419362400513
2021-07-14,981.1052715119149
2021-07-15,929.1643056041964
2021-07-16,853.5339018528766
2021-07-19,748.7808719580046
2021-07-20,699.8195460647905
2021-07-21,693.3925694003775
2021-07-22,663.125595045617
2021-07-23,634.203710594901
2021-07-26,618.8239414518041
2021-07-27,595.9150841777351
2021-07-28,598.6650954948896
2021-07-29,621.9748555328885
2021-07-30,621.4690221854414
2021-08-02,613.1496919889654
2021-08-03,623.8966824505717
2021-08-04,603.9529632155799
2021-08-05,609.8603723576794
2021-08-06,628.8601741553924
2021-08-09,637.9208745262173
2021-08-10,660.8544957195933
2021-08-11,701.3213698739262
2021-08-12,725.8325118497958
2021-08-13,739.6112297871293
2021-08-16,730.224929638425
2021-08-17,697.9459411446433
2021-08-18,644.4003792820977
2021-08-19,569.7268542763384
2021-08-20,535.6381068276701
2021-08-23,535.1541847891341
2021-08-24,564.5959381447376
2021-08-25,604.833504719537
2021-08-26,609.1334256614294
2021-08-27,650.6377550495657
2021-08-30,676.5358724039011
2021-08-31,709.2684374587641
2021-09-01,742.5284759376538
2021-09-02,788.6923234221405
2021-09-03,815.574020557742
2021-09-07,826.1305708116173
2021-09-08,815.7994950801038
2021-09-09,809.2971659199587
2021-09-10,779.6071889397588
2021-09-13,774.6675092694052
2021-09-14,742.5063644846987
2021-09-15,737.8250282019759
2021-09-16,722.0036964215634
2021-09-17,690.3047930382095
2021-09-20,623.5437047070823
2021-09-21,566.7798066868093
2021-09-22,554.2877888407623
2021-09-23,575.2377664755211
2021-09-24,589.7925729552253
2021-09-27,625.2225073479882
2021-09-28,624.9818826459127
2021-09-29,628.3577364330479
2021-09-30,608.0525843418442
2021-10-01,621.5879964979642
2021-10-04,630.1841611486243
2021-10-05,652.7034831130235
2021-10-06,664.7983830578736
2021-10-07,702.9677821206042
2021-10-08,739.2704227379743
2021-10-11,759.8543420897777
2021-10-12,781.2526262299531
2021-10-13,807.6402001526717
2021-10-14,859.6300826028079
2021-10-15,915.431022908081
2021-10-18,958.4447468408503
2021-10-19,1008.564043842587
2021-10-20,1074.5840974578132
2021-10-21,1117.5420847029413
2021-10-22,1152.3014060119215
2021-10-25,1192.838679233636
2021-10-26,1215.1267502785036
2021-10-27,1200.7756203397455
2021-10-28,1205.7168013435944
2021-10-29,1192.217765564023
2021-11-01,1208.968065359144
2021-11-02,1211.6038214522189
2021-11-03,1230.614592233663
2021-11-04,1227.7684316741813
2021-11-05,1240.2542413108868
2021-11-08,1257.8301729084894
2021-11-09,1263.6489994194976
2021-11-10,1255.012412154232
2021-11-11,1261.3308855566063
2021-11-12,1267.1506632329142
